ID_ENTIDAD;RAZON_SOCIAL;NOMBRE_COMERCIAL;BIT_ACTIVO;ID_ESTADO
129;UNIVERSIDAD SANTO DOMINGO DE GUZMAN;UNIVERSIDAD SANTO DOMINGO DE GUZMÁN;1;2
130;UNIVERSIDAD PRIVADA LÍDER PERUANA;UNIVERSIDAD PRIVADA LÍDER PERUANA;1;2
132;UNIVERSIDAD PRIVADA PERUANO ALEMANA;UNIVERSIDAD PRIVADA PERUANO ALEMANA;1;1
143;UNIVERSIDAD SEMINARIO BIBLICO DE ANDINO;UNIVERSIDAD SEMINARIO BIBLICO DE ANDINO;1;2
144;UNIVERSIDAD SAN PEDRO;UNIVERSIDAD SAN PEDRO;1;2
146;UNIVERSIDAD CATÓLICA LOS  ÁNGELES DE CHIMBOTE;UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE;1;2
148;UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA;UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA SOCIEDAD ANÓNIMA CERRADA;1;1
149;UNIVERSIDAD CONTINENTAL;UNIVERSIDAD CONTINENTAL;1;1
151;UNIVERSIDAD JOSE CARLOS MARIATEGUI;UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI;1;2
152;UNIVERSIDAD AUTONOMA DE ICA SAC;UNIVERSIDAD AUTONOMA DE ICA;1;1
179;HIDROFILTEC S.A.C.;ESCUELA SUPERIOR DE GUERRA AEREA;1;1
202;UNIVERSIDAD PRIVADA DE LA SELVA PERUANA;UNIVERSIDAD PRIVADA DE LA SELVA PERUANA;1;2
204;ASOCIACION CULTURAL ORIENTE PERUANO ACOP;ASOCIACION CULTURAL ORIENTE PERUANO ACOP;1;1
205;ASOCIACION CIVIL PROMOTORA DE LA UNIVERSIDAD PRIVADA DE TACNA;ASOCIACION CIVIL PROMOTORA DE LA UNIVERSIDAD PRIVADA DE TACNA;1;1
206;AMERICAN PONTIFICAL CATHOLIC UNIVERSITY PERÚ S.A.C.;AMERICAN PONTIFICAL CATHOLIC UNIVERSITY PERÚ S.A.C.;1;1
207;UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.;UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.;1;1
209;APC UNIVERSITY AYACUCHO;APC UNIVERSITY AYACUCHO S.A.C.;1;1
210;ASOCIACIÓN DE PROMOTRES DE SERVICIOS EDUCATIVOS VECKOR;ASOCIACION DE PROMOTORES DE SERVICIOS EDUCATIVOS VECKOR;1;1
211;CONSORCIO EDUCATIVO LOS ARCANGELES S.A.C.;CONSORCIO EDUCATIVO LOS ARCANGELES S.A.C.;1;1
212;UNIVERSIDAD PRIVADA DEL NORTE;UNIVERSIDAD PRIVADA DEL NORTE S.A.C.;1;1
213;ASOCIACIÓN NACIONAL DE MÉDICOS RESIDENTES DEL PERU;UNIVERSIDAD PRIVADA CÉSAR VALLEJO;0;1
214;ASOCIACIÓN EDUCATIVA GRENDAL COLLEGE;ASOCIACIÓN EDUCATIVA GRENDAL COLLEGE;1;1
215;APC UNIVERSITY PONTIFICIA UNIVERSIDAD CATOLICA AMERICANA S.A.C;APC UNIVERSITY PONTIFICIA UNIVERSIDAD CATOLICA AMERICANA S.A.C;1;1
216;GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.;GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.;1;2
217;CENTRO PERUANO DE FORMACIÓN E INVESTIGACIÓN CONTINUA;CENTRO PERUANO DE FORMACIÓN E INVESTIGACIÓN CONTINUA;1;1
218;UNIVERSIDAD CESAR VALLEJO;UNIVERSIDAD CÉSAR VALLEJO S.A.C.;1;1
219;ESCUELA DE POSGRADO NEWMAN S.A.C;ESCUELA DE POSGRADO NEWMAN S.A.C;1;1
223;ASOCIACIÓN PERUANA DE CIENCIAS JURÍDICAS Y CONCILIACIÓN;Asociación Peruana de Ciencias Jurídicas y Conciliación;1;1
224;CORPORACION ESPECIALIZADA EN EDUCACION, TECNOLOGIA, EMPRESARIADO Y ETICA D S.A.C.;Asociación Peruana de Ciencias Jurídicas y Conciliación;1;1
228;ASOCIACIÓN POR LA EDUCACIÓN GRENDAL COLLEGE AND UNIVERSITY;ASOCIACIÓN POR LA EDUCACIÓN GRENDAL COLLEGE AND UNIVERSITY;1;1
229;ASOCIACIÓN CIVIL DEL INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY;ASOCIACIÓN CIVIL DEL INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY;1;1
230;ESCUELA DE EDUCACION  SUPERIOR PEDAGOGICA PUBLICA MONTERRICO;ESCUELA DE EDUCACION  SUPERIOR PEDAGOGICA PUBLICA MONTERRICO;1;1
231;ESCUELA DE EDUCACIÓN SUPERIOR TECNOLÓGICA PRIVADA TOULOUSE LAUTREC;ESCUELA DE EDUCACIÓN SUPERIOR TECNOLÓGICA PRIVADA TOULOUSE LAUTREC;1;1
232;"ESCUELA NACIONAL SUPERIOR DE ARTE DRAMATICO ""GUILLERMO UGARTE CHAMORRO""";ESCUELA NACIONAL SUPERIOR DE ARTE DRAMATICO GUILLERMO UGARTE CHAMORRO;1;1
233;ESCUELA NACIONAL DE ARTE CARLOS BACA FLOR DE AREQUIPA;ESCUELA NACIONAL DE ARTE CARLOS BACA FLOR DE AREQUIPA;1;1
234;"ESCUELA SUPERIOR DE FORMACIÓN ARTÍSTICA PUBLICA "" SAN PEDRO DE CAJAS""";ESCUELA SUPERIOR DE FORMACIÓN ARTÍSTICA PUBLICA SAN PEDRO DE CAJAS;1;1
236;ESCUELA DE POSTGRADO GERENS S.A.;ESCUELA DE POSTGRADO GERENS S.A.;1;1
237;ZENÓN WANTUIL RIVERA CHUQUE;ZENÓN WANTUIL RIVERA CHUQUE;1;1
238;CÁMARA MINERA DEL PERÚ;CAMARA MINERA DEL PERU - CAMIPER;1;1
239;ESCUELA SUPERIOR DE FORMACIÓN ARTÍSTICA PÚBLICA MARIO URTEAGA ALVARADO DE CAJAMARCA;ESCUELA SUPERIOR DE FORMACIÓN ARTÍSTICA PÚBLICA MARIO URTEAGA ALVARADO DE CAJAMARCA;1;1
240;UNIVERSIDAD PRIVADA DE AYACUCHO S.A.C.;UNIVERSIDAD PRIVADA DE AYACUCHO S.A.C.;1;1
242;ESCUELA NACIONAL DE CONTROL -CGR;ESCUELA NACIONAL DE CONTROL;1;1
243;INSTITUTO PALESTRA-ESCUELA IBEROAMERICANA DE DERECHO;INSTITUTO PALESTRA-ESCUELA IBEROAMERICANA DE DERECHO;1;1
244;"ESCUELA DE EDUCACIÓN SUPERIOR TECNOLÓGICA PRIVADA ""SAN IGNACIO DE LOYOLA -ESCUELA ISIL""";"ESCUELA DE EDUCACIÓN SUPERIOR TECNOLÓGICA PRIVADA ""SAN IGNACIO DE LOYOLA -ESCUELA ISIL""";1;1
245;EESTP ZEGEL IPAE;EESTP ZEGEL IPAE;1;1
246;ESCUELA DE EDUCACIÓN SUPERIOR  CENTRO DE LA IMAGEN;ESCUELA DE EDUCACIÓN SUPERIOR  CENTRO DE LA IMAGEN;1;1
247;"ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA PUBLICA ""LA INMACULADA """;"ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA PUBLICA ""LA INMACULADA """;1;1
248;ESCUELA DE EDUCACION SUPERIOR TECNOLOGICA PRIVADA LA PONTIFICIA;"ESCUELA DE EDUCACIÓN SUPERIOR TECNOLÓGICA PRIVADA ""LA PONTIFICIA""";1;1
249;ESCUELA PERUANA DE EDUCACION S.A.C.;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PRIVADA ""ITS INNOVA TEACHING SCHOOL""";1;1
250;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA CHIMBOTE;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA CHIMBOTE;1;1
251;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA “AREQUIPA”;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA “AREQUIPA”;1;1
252;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGOGICA PUKLLASUNCHIS;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGOGICA PUKLLASUNCHIS;1;1
253;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""PIURA""";"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""PIURA""";1;1
254;ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA PUBLICA JOSE JIMENEZ BORJA;ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA PUBLICA JOSE JIMENEZ BORJA;1;1
255;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""SANTA ROSA""";"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""SANTA ROSA""";1;1
256;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA “TARAPOTO”;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""TARAPOTO""";1;1
257;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""EMILIA BARCIA BONIFFATTI""";"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""EMILIA BARCIA BONIFFATTI""";1;1
258;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""JOSÉ SALVADOR CAVERO OVALLE""";"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""JOSÉ SALVADOR CAVERO OVALLE""";1;1
259;ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA PUBLICA LAMAS;ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA PUBLICA LAMAS;1;1
260;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""VÍCTOR ANDRÉS BELAUNDE""";"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""VÍCTOR ANDRÉS BELAUNDE""";1;1
261;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA GAMANIEL BLANCO MURILLO;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA GAMANIEL BLANCO MURILLO;1;1
262;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA NUESTRA SEÑORA DE CHOTA;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA NUESTRA SEÑORA DE CHOTA;1;1
263;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ARÍSTIDES MERINO MERINO;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ARÍSTIDES MERINO MERINO;1;1
264;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""LA SALLE"" DE ABANCAY";"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""LA SALLE"" DE ABANCAY";1;1
265;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""TÚPAC AMARU""";"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""TÚPAC AMARU""";1;1
266;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA GENERALÍSIMO JOSÉ DE SAN MARTÍN;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA GENERALÍSIMO JOSÉ DE SAN MARTÍN;1;1
267;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA IGNACIO AMADEO RAMOS OLIVERA;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA IGNACIO AMADEO RAMOS OLIVERA;1;1
268;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PRIVADA MARÍA MONTESSORI;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PRIVADA MARÍA MONTESSORI;1;1
269;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA DAVID SÁNCHEZ INFANTE;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA DAVID SÁNCHEZ INFANTE;1;1
270;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PRIVADA ""CALIDAD EN REDES DE APRENDIZAJE"" - CREA";"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PRIVADA ""CALIDAD EN REDES DE APRENDIZAJE"" - CREA";1;1
271;"INSTITUTO DE EDUCACIÓN SUPERIOR PEDAGÓGICO PÚBLICO ""MARCOS DURÁN MARTEL""";"INSTITUTO DE EDUCACIÓN SUPERIOR PEDAGÓGICO PÚBLICO ""MARCOS DURÁN MARTEL""";1;1
272;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PUBLICO LORETO;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PUBLICA LORETO;1;1
273;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""SAN FRANCISCO DE ASÍS""";"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""SAN FRANCISCO DE ASÍS""";1;1
274;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""INDOAMÉRICA""";"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""INDOAMÉRICA""";1;1
275;ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA PUBLICA JULIACA;ESCUELA DE EDUCACION SUPERIOR PEDAGOGICA PUBLICA JULIACA;1;1
276;ESCUELA SUPERIOR PEDAGÓGICA PUBLICA MONSEÑOR FRANCISCO GONZALES BURGA;ESCUELA SUPERIOR PEDAGÓGICA PUBLICA MONSEÑOR FRANCISCO GONZALES BURGA;1;1
277;UNIVERSIDAD NACIONAL TECNOLÓGICA DE FRONTERA SAN IGNACIO DE LOYOLA;UNIVERSIDAD NACIONAL TECNOLÓGICA DE FRONTERA SAN IGNACIO DE LOYOLA;1;1
278;ESCUELA DE EDUCACIÓN SUPERIOR TECNOLÓGICA PRIVADA KHIPU;ESCUELA DE EDUCACIÓN SUPERIOR TECNOLÓGICA PRIVADA KHIPU;1;1
279;"INSTITUTO DE EDUCACION SUPERIOR PEDAGOGICO PUBLICO ""MONSEÑOR ELIAS OLAZAR""";"Escuela de Educación Superior Pedagógica Pública ""Monseñor Elías Olázar""";1;1
280;"ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA ""MERCEDES CABELLO DE CARBONERA""";"Escuela de Educación Superior Pedagógica Pública ""Mercedes Cabello de Carbonera""";1;1
281;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA TEODORO PEÑALOZA;ESCUELA DE EDUCACIÓN SUPERIOR PEDAGÓGICA PÚBLICA TEODORO PEÑALOZA;1;1
282;INSTITUTO EUROPEO ZAHNARTZ SRL;INSTITUTO EUROPEO ZAHNARTZ SRL;1;1
283;ACADEMIA DE LA MAGISTRATURA;ACADEMIA DE LA MAGISTRATURA;1;1
284;GETOVERHERE;GETOVERHERE;0;1
